,Actif_1,Actif_2,Actif_3,Actif_4,Actif_5
1105,0,12,24,24,40
1106,0,12,24,28,36
1107,0,12,24,32,32
1108,0,12,24,36,28
1109,0,12,24,40,24
1110,0,12,24,44,20
1111,0,12,24,48,16
1112,0,12,24,52,12
1113,0,12,24,56,8
1114,0,12,24,60,4
1115,0,12,24,64,0
1116,0,12,28,0,60
1117,0,12,28,4,56
1118,0,12,28,8,52
1119,0,12,28,12,48
1120,0,12,28,16,44
1121,0,12,28,20,40
1122,0,12,28,24,36
1123,0,12,28,28,32
1124,0,12,28,32,28
1125,0,12,28,36,24
1126,0,12,28,40,20
1127,0,12,28,44,16
1128,0,12,28,48,12
1129,0,12,28,52,8
1130,0,12,28,56,4
1131,0,12,28,60,0
1132,0,12,32,0,56
1133,0,12,32,4,52
1134,0,12,32,8,48
1135,0,12,32,12,44
1136,0,12,32,16,40
1137,0,12,32,20,36
1138,0,12,32,24,32
1139,0,12,32,28,28
1140,0,12,32,32,24
